bio10_5,bio10_prMay,lat,lon,lambda,N
-1.148180328,-1.79577509,2976880.134,2000535.591,0.783833839,0
-1.167267156,-1.574202158,2976880.134,2003535.591,0.782224563,0
-1.029311789,-1.964417505,2976880.134,2006535.591,0.792618005,0
-1.116294617,-1.567698516,2976880.134,2009535.591,0.782391195,0
-1.13521567,-1.728299406,2976880.134,2012535.591,0.783211259,0
-0.940139045,-2.177652979,2976880.134,2015535.591,0.827542546,0
-1.060977738,-1.269248304,2976880.134,2018535.591,0.781935933,0
-1.229768613,-0.769076225,2976880.134,2021535.591,0.781715684,0
-1.248964605,-0.928772999,2976880.134,2024535.591,0.781717621,0
-1.126141667,-1.362182506,2976880.134,2027535.591,0.781910719,0
-1.431204401,-0.599409764,2976880.134,2030535.591,0.781714346,0
-1.083548223,-1.941811646,2976880.134,2033535.591,0.788780211,0
-0.924303652,-1.851919589,2976880.134,2036535.591,0.798315207,0
-1.280247848,-0.415801785,2976880.134,2039535.591,0.781714362,0
-1.448479034,-0.485102504,2976880.134,2042535.591,0.78171431,0
-1.616090137,-0.349978857,2976880.134,2045535.591,0.781714289,0
-1.402238741,-1.35129662,2976880.134,2048535.591,0.781728213,0
-1.317266646,-1.495651303,2976880.134,2051535.591,0.781804584,0
-1.257092908,-1.745158263,2976880.134,2054535.591,0.782307437,0
-1.318078333,-1.030364556,2976880.134,2057535.591,0.781717447,2
-1.209419095,-1.698837758,2976880.134,2060535.591,0.782352081,108
-0.935315696,-1.701109721,2976880.134,2063535.591,0.788773799,136
-1.129828829,-0.714470403,2976880.134,2066535.591,0.781716679,37
-1.008624403,-1.35165748,2976880.134,2069535.591,0.782190935,69
-0.856838406,-1.737797063,2976880.134,2072535.591,0.794681987,33
-0.835670478,-1.699664009,2976880.134,2075535.591,0.796021138,4
-0.905957424,-1.123735736,2976880.134,2078535.591,0.782039531,0
-0.842146426,-1.83422376,2976880.134,2081535.591,0.805543766,0
-0.936400308,-0.821458166,2976880.134,2084535.591,0.781754126,0
-1.143477724,-0.434949471,2976880.134,2087535.591,0.781714614,0
-0.946316603,-1.538770494,2976880.134,2090535.591,0.784264546,0
-0.904353003,-1.455989398,2976880.134,2093535.591,0.784121596,0
-1.023897772,-0.511410273,2976880.134,2096535.591,0.781716229,0
-0.90688328,-1.426636866,2976880.134,2099535.591,0.783617014,0
-0.942370965,-0.930728813,2976880.134,2102535.591,0.781784851,0
-0.880825076,-1.357013115,2976880.134,2105535.591,0.78340253,0
-0.860899681,-1.346466183,2976880.134,2108535.591,0.783619521,0
-0.807301245,-1.371769752,2976880.134,2111535.591,0.784964232,0
-0.894180029,-0.310094364,2976880.134,2114535.591,0.781716024,0
-0.980636997,0.028488403,2976880.134,2117535.591,0.781714369,0
-0.955760115,-0.476815868,2976880.134,2120535.591,0.781717228,0
-0.904427189,-0.677716313,2976880.134,2123535.591,0.781735905,0
-0.953138719,-0.25040563,2976880.134,2126535.591,0.781714953,0
-1.979386019,-0.386449055,2973880.134,1994535.591,0.781714286,0
-1.496199797,-1.447092066,2973880.134,1997535.591,0.781724369,0
-1.254949259,-1.497477056,2973880.134,2000535.591,0.781855727,0
-1.336303454,-0.877706057,2973880.134,2003535.591,0.781715317,0
